회사명,2024 투자 금액(억),2024 투자 기업 수,2023 투자 금액(억),2023 투자 기업 수,2022 투자 금액(억),2022 투자 기업 수,2021 투자 금액(억),2021 투자 기업 수,2020 투자 금액(억),2020 투자 기업 수,전체 투자 금액(억),전체 투자 기업 수
충북창조경제혁신센터,31.5,14,30,15,5.2,6,8.3,11,7.5,12,82.5,52
프리코,0,0,8.4,17,43.7,60,28.3,30,2,3,82.4,50
플랜에이치벤처스,6,3,15,7,29.5,11,17.5,11,11,10,79.1,31
유앤벤처스,0,0,64.7,6,13.1,2,0,0,0,0,77.8,6
빅무브벤처스,32.7,3,24,4,18.4,3,0,0,0,0,75.1,7
한국사회투자,12.5,7,27,15,29,23,3.2,5,3,3,74.6,30
액트너랩,10.4,4,4.4,8,16.7,22,14.7,17,26.9,27,73,56
씨앤벤처파트너스,14,5,20,7,14.5,8,17,10,6.1,8,71.7,30
미리어드생명과학,17.5,5,3,1,33.5,4,8.5,1,8.5,0,71,7
퍼스트스텝랩스,4.8,3,22.5,4,24,6,18.6,9,0,0,69.9,16
경기창조경제혁신센터,5.5,2,36.8,20,20.8,15,4.9,7,0.5,1,68.5,30
테일벤처스,14.5,1,10,5,26,8,8.5,3,8.5,0,67.5,9
마크앤컴퍼니,18.1,10,13,7,29.1,15,7,5,0,0,67.1,22
카이트창업가재단,10,4,22,10,15.1,9,9.5,6,9.9,9,66.5,29
울산창조경제혁신센터,13,5,22,9,10,5,11,5,9,7,65,26
한국엔젤투자협회,23,7,27,8,14.5,5,0.2,1,0.3,1,65,17
퍼스트게이트,12,6,35.4,18,9.5,9,6.4,6,0,0,63.3,30
아이피텍코리아,0.1,1,2.5,1,16.1,5,44.1,4,0,0,62.7,6
앤틀러코리아,20,12,16.1,13,26,16,0,0,0,0,62.1,25
벤처필드,0,0,0,0,13.7,6,47.7,11,0,0,61.3,11
엔슬파트너스,7.6,9,19.7,13,13.3,17,9.2,13,9.7,9,59.5,44
와이드앤파트너스,21.8,4,8.1,5,13.9,6,9.8,7,5.8,6,59.3,22
트리니티벤처파트너스,17.5,3,40,5,0,0,0,0,0,0,57.5,8
전남대학교기술지주회사,10.1,5,7,3,28,9,10,4,0,0,55.1,12
500글로벌매니지먼트코리아,33,9,21,6,0,0,0,0,0,0,54,15
킹고스프링,19.8,16,9.5,10,7,10,12.6,14,4.4,8,53.3,48
JB벤처스,6.6,5,13.4,13,13.2,11,10,12,6.8,13,50,43
패스웨이파트너스,36,5,13.4,2,0,0,0,0,0,0,49.4,7
타이탄벤처스,0,0,0,0,2,3,18.3,7,28.4,7,48.7,14
에이치엘비인베스트먼트,25,3,20,2,0,0,0,0,0,0,45,5
엠엠에스벤처스,5.6,2,6.5,2,15.8,7,16.5,6,0,0,44.4,10
로우파트너스,9,3,9,4,7.1,5,13.1,9,5.8,6,44,22
부산대학교기술지주,15,5,11.3,7,12.3,7,5.2,4,0,0,43.8,16
충남대학교기술지주,2.5,1,4.5,15,25.6,16,3.3,4,7.1,4,43.1,24
인천창조경제혁신센터,3,3,8,5,16,11,8.9,10,6.8,8,42.8,26
재단법인 윤민창의투자재단,3.5,4,13.5,12,12.1,14,10.5,13,1,1,40.7,30
오픈놀,0.2,1,40.2,13,0,0,0,0,0.3,1,40.6,15
그래비티벤처스,0,0,5,3,34.9,8,0,0,0,0,39.9,3
엑센트리,1,1,2.4,2,11.4,9,15.5,13,9,3,39.4,19
에스에스투인베스트먼트,1,1,1,1,13.4,7,22.1,10,0,0,37.4,12
블루버스인베스트먼트,17.3,5,20,1,0,0,0,0,0,0,37.3,6
콘탱고파트너스,23.2,1,13,2,1,1,0,0,0,0,37.2,3
