회사명,2024 투자 금액(억),2024 투자 기업 수,2023 투자 금액(억),2023 투자 기업 수,2022 투자 금액(억),2022 투자 기업 수,2021 투자 금액(억),2021 투자 기업 수,2020 투자 금액(억),2020 투자 기업 수,전체 투자 금액(억),전체 투자 기업 수
스프러너,0.1,2,0,2,0,0,0,0,0,0,0.1,4
영산대학교산학협력단,0,0,0,0,0.1,1,0,0,0,0,0.1,0
(사)한국무선인터넷솔루션협회,0,0,0,0,0,0,0,0,0,0,0,0
(재)경기도경제과학진흥원,0,0,0,0,0,0,0,0,0,0,0,0
(재)전북특별자치도경제통상진흥원,0,0,0,0,0,0,0,0,0,0,0,0
가인지캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0
게이트웨이즈,0,0,0,0,0,0,0,0,0,0,0,0
경남창원산학융합원,0,0,0,0,0,0,0,0,0,0,0,0
공주대학교기술지주,0,0,0,0,0,0,0,0,0,0,0,0
과학기술경제연구소,0,0,0,0,0,0,0,0,0,0,0,0
광운대학교기술지주,0,0,0,0,0,0,0,0,0,0,0,0
글로벌스퀘어,0,0,0,0,0,0,0,0,0,0,0,0
네온파트너스,0,0,0,0,0,0,0,0,0,0,0,0
넥스트파트너스,0,0,0,0,0,0,0,0,0,0,0,0
더세움,0,0,0,0,0,0,0,0,0,0,0,0
더퍼스트벤처스,0,0,0,0,0,0,0,0,0,0,0,0
드림랩,0,0,0,0,0,0,0,0,0,0,0,0
드림이앤씨,0,0,0,0,0,0,0,0,0,0,0,0
드림플래닛,0,0,0,0,0,0,0,0,0,0,0,0
라쿠카라차,0,0,0,0,0,0,0,0,0,0,0,0
렛츠,0,0,0,0,0,0,0,0,0,0,0,0
리온아이피엘,0,0,0,0,0,0,0,0,0,0,0,0
리채인사이트,0,0,0,0,0,0,0,0,0,0,0,0
리터러시 플러스,0,0,0,0,0,0,0,0,0,0,0,0
링크브릭스벤처스,0,0,0,0,0,0,0,0,0,0,0,0
마음인베스트먼트,0,0,0,0,0,0,0,0,0,0,0,0
마이샵온샵,0,0,0,0,0,0,0,0,0,0,0,0
맥스컨설팅,0,2,0,0,0,0,0,0,0,0,0,2
민트스퀘어,0,0,0,0,0,0,0,0,0,0,0,0
바로운파트너스,0,0,0,0,0,0,0,0,0,0,0,0
바이씨엠씨,0,0,0,0,0,0,0,0,0,0,0,0
벤처블릭코리아,0,0,0,0,0,0,0,0,0,0,0,0
벤처스카우트,0,0,0,0,0,0,0,0,0,0,0,0
부산창조경제혁신센터,0,0,0,0,0,0,0,0,0,0,0,0
브이엔티지,0,0,0,0,0,0,0,0,0,0,0,0
비바체랩,0,0,0,0,0,0,0,0,0,0,0,0
비스마트,0,0,0,0,0,0,0,0,0,0,0,0
비엔지파트너스,0,0,0,0,0,0,0,0,0,0,0,0
비욘드랩,0,0,0,0,0,0,0,0,0,0,0,0
비전웍스,0,0,0,0,0,0,0,0,0,0,0,0
비즈,0,0,0,0,0,0,0,0,0,0,0,0
비즈니스넷,0,0,0,0,0,0,0,0,0,0,0,0
비즈니스전략연구소,0,0,0,0,0,0,0,0,0,0,0,0
비케이유인베스트먼트,0,0,0,0,0,0,0,0,0,0,0,0
빅뱅벤처스,0,0,0,0,0,0,0,0,0,0,0,0
사단법인 더 브릿지,0,0,0,0,0,0,0,0,0,0,0,0
사단법인 스타트업미래포럼,0,0,0,0,0,0,0,0,0,0,0,0
사단법인 충남산학융합원,0,0,0,0,0,0,0,0,0,0,0,0
사덕벤처스,0,0,0,0,0,0,0,0,0,0,0,0
서울과학종합대학원대학교산학협력단,0,0,0,0,0,0,0,0,0,0,0,0
세종아이피브릿지,0,0,0,0,0,0,0,0,0,0,0,0
센터보드,0,0,0,0,0,0,0,0,0,0,0,0
소만사,0,0,0,0,0,0,0,0,0,0,0,0
스마일빌드,0,0,0,0,0,0,0,0,0,0,0,0
스타에셋파트너스,0,0,0,0,0,0,0,0,0,0,0,0
스테이션케이,0,0,0,0,0,0,0,0,0,0,0,0
스토리앤데이터,0,0,0,0,0,0,0,0,0,0,0,0
시드앤파트너스,0,0,0,0,0,0,0,0,0,0,0,0
시저스랩,0,0,0,0,0,0,0,0,0,0,0,0
씨씨벤처스,0,0,0,0,0,0,0,0,0,0,0,0
아르코벤처스,0,0,0,0,0,0,0,0,0,0,0,0
아이벤처스,0,0,0,0,0,0,0,0,0,0,0,0
아이엔유파트너스,0,0,0,0,0,0,0,0,0,0,0,0
알배기협동조합,0,0,0,0,0,0,0,0,0,0,0,0
에스씨지,0,0,0,0,0,0,0,0,0,0,0,0
에스앤에스랩,0,0,0,0,0,0,0,0,0,0,0,0
에쓰지에이치코리아,0,0,0,0,0,0,0,0,0,0,0,0
에이비엘기술사업협동조합,0,0,0,0,0,0,0,0,0,0,0,0
에이아이씨엔앰,0,0,0,0,0,0,0,0,0,0,0,0
에이지씨씨코리아,0,0,0,0,0,0,0,0,0,0,0,0
에이치지 솔루션,0,0,0,0,0,0,0,0,0,0,0,0
에프엔센싱,0,0,0,0,0,0,0,0,0,0,0,0
에프지씨파트너스,0,0,0,0,0,0,0,0,0,0,0,0
엔지켐생명과학,0,0,0,0,0,0,0,0,0,0,0,0
엔텔스,0,0,0,0,0,0,0,0,0,0,0,0
엘엠에이치파트너스,0,0,0,0,0,0,0,0,0,0,0,0
엘케이경영연구원,0,0,0,0,0,0,0,0,0,0,0,0
엠디글로벌넷,0,0,0,0,0,0,0,0,0,0,0,0
엠투엔티,0,0,0,0,0,0,0,0,0,0,0,0
오렌지나무,0,0,0,0,0,0,0,0,0,0,0,0
오브젝트컴퍼니,0,0,0,0,0,0,0,0,0,0,0,0
와우파트너스,0,0,0,0,0,0,0,0,0,0,0,0
와이즈인베스터,0,0,0,0,0,0,0,0,0,0,0,0
와이케이벤처스,0,0,0,0,0,0,0,0,0,0,0,0
위즈엘,0,0,0,0,0,0,0,0,0,0,0,0
윈트리파트너스,0,0,0,0,0,0,0,0,0,0,0,0
유니스트기술지주,0,0,0,0,0,0,0,0,0,0,0,0
이드로경영파트너스,0,0,0,0,0,0,0,0,0,0,0,0
이디리서치,0,0,0,0,0,0,0,0,0,0,0,0
이앤에프어드바이저,0,0,0,0,0,0,0,0,0,0,0,0
인비전아이피컨설팅,0,0,0,0,0,0,0,0,0,0,0,0
재단법인 서울테크노파크,0,0,0,0,0,0,0,0,0,0,0,0
전북대학교기술지주회사,0,0,0,0,0,0,0,0,0,0,0,0
전북벤처스,0,0,0,0,0,0,0,0,0,0,0,0
전주정보문화산업진흥원,0,0,0,0,0,0,0,0,0,0,0,0
제이스이노베이션파트너스,0,0,0,0,0,0,0,0,0,0,0,0
지디벤처스,0,0,0,0,0,0,0,0,0,0,0,0
지스트기술지주,0,0,0,0,0,0,0,0,0,0,0,0
지앤원테크솔루션,0,0,0,0,0,0,0,0,0,0,0,0
진평벤처스,0,0,0,0,0,0,0,0,0,0,0,0
창업지원네트워크,0,0,0,0,0,0,0,0,0,0,0,0
충남정보문화산업진흥원,0,0,0,0,0,0,0,0,0,0,0,0
카페캠프통,0,0,0,0,0,0,0,0,0,0,0,0
케이브레인컴퍼니,0,0,0,0,0,0,0,0,0,0,0,0
케이제이액셀,0,0,0,0,0,0,0,0,0,0,0,0
케이투벤처스,0,0,0,0,0,0,0,0,0,0,0,0
콴티파이 인큐베이터,0,0,0,0,0,0,0,0,0,0,0,0
토탈소프트뱅크,0,0,0,0,0,0,0,0,0,0,0,0
트러스트벤처투자,0,0,0,0,0,0,0,0,0,0,0,0
트리즈컴퍼니,0,0,0,0,0,0,0,0,0,0,0,0
트윈플러스파트너스,0,0,0,0,0,0,0,0,0,0,0,0
특허법인 부경,0,0,0,0,0,0,0,0,0,0,0,0
특허법인지담,0,0,0,0,0,0,0,0,0,0,0,0
티더블유브이,0,0,0,0,0,0,0,0,0,0,0,0
티케이벤처스,0,0,0,0,0,0,0,0,0,0,0,0
티투비파트너스,0,0,0,0,0,0,0,0,0,0,0,0
패러다임파트너스,0,0,0,0,0,0,0,0,0,0,0,0
페어디벤처스,0,0,0,0,0,0,0,0,0,0,0,0
포인트업,0,0,0,0,0,0,0,0,0,0,0,0
포켓컴퍼니,0,0,0,0,0,0,0,0,0,0,0,0
플랭크 파트너즈,0,0,0,0,0,0,0,0,0,0,0,0
피노바랩,0,0,0,0,0,0,0,0,0,0,0,0
피앤리,0,0,0,0,0,0,0,0,0,0,0,0
픽스프리,0,0,0,0,0,0,0,0,0,0,0,0
핀업파트너스,0,0,0,0,0,0,0,0,0,0,0,0
하이버프파트너스,0,0,0,0,0,0,0,0,0,0,0,0
하이테크벤처스,0,0,0,0,0,0,0,0,0,0,0,0
한국가치투자,0,0,0,0,0,0,0,0,0,0,0,0
한국경영인증원,0,0,0,0,0,0,0,0,0,0,0,0
한국생산성본부,0,0,0,0,0,0,0,0,0,0,0,0
한국전자기술,0,0,0,0,0,0,0,0,0,0,0,0
한국특허투자,0,0,0,0,0,0,0,0,0,0,0,0
한국표준협회,0,0,0,0,0,0,0,0,0,0,0,0
한국피부과학연구원,0,0,0,0,0,0,0,0,0,0,0,0
한길,0,0,0,0,0,0,0,0,0,0,0,0
한성케이에스콘,0,0,0,0,0,0,0,0,0,0,0,0
한양대학교 에리카산학협력단,0,0,0,0,0,0,0,0,0,0,0,0
핸드파트너스,0,0,0,0,0,0,0,0,0,0,0,0
핼리스톤벤처스,0,0,0,0,0,0,0,0,0,0,0,0
MBI컨소싱그룹,0,0,0,0,0,0,0,0,0,0,0,0
SAG Korea,0,0,0,0,1,1,2.9,2,2.2,3,6.1,5
